"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Benchmark","RSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0, InvSqrt)","rsms_weightedcusum_gamma_0_invsqrt",0.05,255.908782879871,8.13154103333889,TRUE,38,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-26,-13,-19,31.4711297441234,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","rsms_weightedcusum_gamma_0_15_invsqrt",0.05,680.106922999588,14.3705654855853,TRUE,36,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-24,-15,-21,47.3263855679015,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","RSMS MultiscaleMOSUM (H050_100_200, Equal)","rsms_multiscalemosum_h050_100_200_equal",0.05,3189.05880210151,43.0535649384282,TRUE,21,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-01-31,-30,-45,74.0718871169495,"RSMS, KS, gamma=NA"
"Benchmark","HAC","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0)","hac_fullcusum_gamma_0",0.05,8.74651438147419,9.03703592021782,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.967852120838242,"HAC, KS, gamma=0.00"
"Benchmark","HAC","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0)","hac_pagecusum_gamma_0",0.05,26.8938764853503,9.88381456126902,TRUE,45,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-06,-6,-10,2.72100172647283,"HAC, KS, gamma=0.00"
"Benchmark","HAC","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0.15)","hac_fullcusum_gamma_0_15",0.05,10.4004583169314,9.83097076467925,TRUE,64,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-04-02,13,17,1.05792790619398,"HAC, KS, gamma=0.15"
"Benchmark","HAC","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0.15)","hac_pagecusum_gamma_0_15",0.05,46.2030989319273,11.3419870830069,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,4.07363353474022,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.1)","hac_mosum_h_0_1",0.05,677.551805695458,43.7638959767889,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,15.4819809930727,"HAC, KS, gamma=NA"
"Benchmark","HAC","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.2)","hac_mosum_h_0_2",0.05,363.607733416784,42.6185674893304,TRUE,46,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-09,-5,-7,8.53167421706076,"HAC, KS, gamma=NA"
"Benchmark","HAC","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0, InvSqrt)","hac_weightedcusum_gamma_0_invsqrt",0.05,82.142396072252,9.70331885925567,TRUE,40,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-28,-11,-17,8.46539181734702,"HAC, KS, gamma=0.00"
"Benchmark","HAC","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0.15, InvSqrt)","hac_weightedcusum_gamma_0_15_invsqrt",0.05,218.302832797799,15.1558558568002,TRUE,39,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-27,-12,-18,14.4038604523841,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","HAC MultiscaleMOSUM (H050_100_200, Equal)","hac_multiscalemosum_h050_100_200_equal",0.05,790.960046583498,46.1653864872551,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,17.1331836851806,"HAC, KS, gamma=NA"
"Benchmark","SSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","SSMS FullCUSUM (gamma=0)","ssms_fullcusum_gamma_0",0.05,21.8756772679331,262.704644564047,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.0832709954718742,"SSMS, KS, gamma=0.00"
